stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
78208,boul. Maple / rue Gilmour,  45.376101, -73.736196,,78208,0
78209,rue Gilmour / boul. Maple,  45.376039, -73.736217,,78209,0
78210,boul. Maple / rue Gordon,  45.379600, -73.735360,,78210,0
78211,rue Gordon / boul. Maple,  45.379612, -73.735403,,78211,0
78212,ch. du Christ-Roi / rue Robert,  45.381189, -73.742226,,78212,0
78213,ch. du Christ-Roi / rue Robert,  45.381152, -73.742253,,78213,0
78214,rue Principale / avenue Bourdon,  45.356198, -73.764969,,78214,0
78215,rue Principale / avenue Bourdon,  45.356501, -73.764045,,78215,0
78216,avenue Bourdon / rue Principale,  45.355858, -73.764949,,78216,0
78217,avenue Bourdon / rue Principale,  45.356070, -73.764875,,78217,0
78221,boul. Salaberry nord / rue Dubuc,  45.389931, -73.748369,,78221,0
78223,rue Higgins / boul. Salaberry nord,  45.395335, -73.749614,,78223,0
78224,boul. Salaberry nord / rue Létourneau,  45.393411, -73.749642,,78224,0
78225,boul. Salaberry nord / rue Létourneau,  45.393493, -73.749753,,78225,0
78226,boul. Salaberry nord / rue Jack,  45.384149, -73.748661,,78226,0
78227,boul. Salaberry nord / rue Jack,  45.384177, -73.748802,,78227,0
78228,boul. Salaberry nord / rue Dupont ouest,  45.379647, -73.750725,,78228,0
78229,boul. Salaberry nord / rue Dupont ouest,  45.379672, -73.750748,,78229,0
78230,boul. Salaberry nord / rue Gilmour,  45.376903, -73.749783,,78230,0
78231,rue Gilmour / boul. Salaberry nord,  45.376931, -73.749796,,78231,0
78232,boul. Sutterlin / avenue Bourdon,  45.350931, -73.762391,,78232,0
78233,avenue Bourdon / boul. Sutterlin,  45.350920, -73.762427,,78233,0
78234,rue Edmour / rue Notre-Dame nord,  45.381220, -73.767110,,78234,0
78235,ch. Vinet / rue Edmour,  45.383009, -73.766767,,78235,0
78237,boul. d'Youville / rue Duranceau,  45.378442, -73.752858,,78237,0
78239,rue Brault / boul. d'Youville,  45.375548, -73.754185,,78239,0
78242,boul. d'Youville / rue Tougas,  45.370820, -73.755578,,78242,0
78243,avenue Bourdon / boul. Sutterlin,  45.350850, -73.762443,,78243,0
78244,Centre Hospitalié Anna-Laberge,  45.345992, -73.764306,,78244,0
78245,boul. Brisebois / face à la Polyvalente L-P. Paré,  45.346253, -73.765862,,78245,0
78246,rue Girouard / boul. d'Youville,  45.365633, -73.754746,,78246,0
78247,rue Letendre / rue Girouard,  45.365079, -73.756782,,78247,0
78248,boul. Deguire / rue de Carignan,  45.362977, -73.758484,,78248,0
78249,boul. Deguire / rue Barrette,  45.360937, -73.757744,,78249,0
78250,boul. Deguire / rue Barrette,  45.360953, -73.757778,,78250,0
78251,boul. Deguire / rue Principale,  45.358287, -73.756725,,78251,0
78252,boul. Salaberry nord / rue Beauchamp,  45.365104, -73.751764,,78252,0
78253,boul. Salaberry nord / rue Lang,  45.367854, -73.750690,,78253,0
78254,boul. Primeau / boul. René-Lévesque,  45.346672, -73.754516,,78254,0
78255,boul. Salaberry nord / rue Watt,  45.375285, -73.749279,,78255,0
78256,boul. Salaberry nord / rue Watt,  45.375299, -73.749317,,78256,0
78257,place Gilmour / rue Church,  45.377387, -73.747597,,78257,0
78258,place Gilmour / rue Church,  45.377413, -73.747594,,78258,0
78259,rue Gilmour / rue Mountain,  45.376587, -73.741170,,78259,0
78260,boul. Maple / rue Newton,  45.372237, -73.734874,,78260,0
78261,boul. Maple / rue Newton,  45.372250, -73.734973,,78261,0
78262,boul. Maple / place Lucerne,  45.369914, -73.732363,,78262,0
78263,boul. Maple / place Lucerne,  45.369937, -73.732462,,78263,0
78264,boul. St-Francis / rue des Tulipes,  45.367934, -73.735837,,78264,0
78265,boul. St-Francis / rue des Tulipes,  45.367996, -73.735824,,78265,0
78266,boul. St-Francis / boul. Vanier,  45.368264, -73.738385,,78266,0
78267,boul. St-Francis / boul. Vanier,  45.368254, -73.738413,,78267,0
78268,boul. Vanier / rue Vincent,  45.366092, -73.738884,,78268,0
78269,boul. Primeau / rue Paul-VI,  45.352028, -73.751015,,78269,0
78270,boul. Primeau / rue Paul-VI,  45.352034, -73.751050,,78270,0
78274,route 132 / route 207,  45.402284, -73.672873,,78274,0
78275,route 132 / face au Bingo,  45.399543, -73.683140,,78275,0
78282,boul. de Léry / face au 1018,  45.348041, -73.800356,,78282,0
78283,boul. de Léry / rue de la Gare,  45.334462, -73.816751,,78283,0
78284,boul. de Léry / rue de la Gare,  45.335101, -73.815851,,78284,0
78285,boul. René-Lévesque / boul. de Léry,  45.355910, -73.785459,,78285,0
78289,boul. Maple-Grove / face au 2,  45.325254, -73.827564,,78289,0
78290,boul. Maple-Grove / face au 2,  45.325446, -73.827803,,78290,0
78291,boul. de Léry / face au 1599,  45.329908, -73.821637,,78291,0
78292,boul. de Léry / rue Paul,  45.330061, -73.821269,,78292,0
78294,boul. de Lery / face au 1355,  45.339656, -73.811169,,78294,0
78295,boul. de Léry / rue de l'Hôtel-de-Ville,  45.344641, -73.805627,,78295,0
78296,boul. de Léry / rue de l'Hôtel-de-Ville,  45.344519, -73.805567,,78296,0
78297,boul. de Léry / ch. du Golf,  45.350549, -73.795739,,78297,0
78298,boul. de Léry / ch. du Golf,  45.350195, -73.796158,,78298,0
78299,boul. de Léry / face au 1018,  45.348055, -73.800577,,78299,0
78300,boul. de Léry / face au 725,  45.352920, -73.790613,,78300,0
78315,boul. Newman / av. Lafleur,  45.425473, -73.649156,,78315,0
78317,boul. de Melocheville / rue Alfred-Haineault,  45.316475, -73.932793,,78317,0
78318,boul. de Melocheville / rang Ste-Marie,  45.316241, -73.932072,,78318,0
78320,Rond Point Melocheville,  45.315342, -73.927301,,78320,0
78321,boul. de Melocheville / face à la résidence des re,  45.316628, -73.935410,,78321,0
78322,boul. de Melocheville / face à la résidence des re,  45.316518, -73.935350,,78322,0
78323,boul. de Melocheville / 1ere avenue,  45.312598, -73.971057,,78323,0
78324,boul. de Melocheville / 1re avenue,  45.312331, -73.971138,,78324,0
78325,boul. de Melocheville / 4e avenue,  45.313407, -73.968465,,78325,0
78326,boul. de Melocheville / 4e avenue,  45.313354, -73.968427,,78326,0
78327,boul. de Melocheville / 8e avenue,  45.313880, -73.964944,,78327,0
78328,boul. de Melocheville / 8e avenue,  45.313738, -73.965055,,78328,0
78329,boul. de Melocheville / rue Côté,  45.314127, -73.962099,,78329,0
78330,boul. de Melocheville / rue Côté,  45.313936, -73.962902,,78330,0
78331,boul. de Melocheville / 13e avenue,  45.314538, -73.957348,,78331,0
78332,boul. de Melocheville / 13e avenue,  45.314421, -73.957482,,78332,0
78333,boul. de Melocheville / 15e avenue,  45.315023, -73.951944,,78333,0
78334,boul. de Melocheville / 15e avenue,  45.314977, -73.951363,,78334,0
78335,boul. de Melocheville / 17e avenue,  45.315366, -73.948496,,78335,0
78336,boul. de Melocheville / 17e avenue,  45.315250, -73.948526,,78336,0
78337,boul. de Melocheville / 21e avenue,  45.315956, -73.942709,,78337,0
78338,boul. de Melocheville / 21e avenue,  45.315859, -73.942644,,78338,0
78339,boul. Maple-Grove / rue de la Gare,  45.319993, -73.836959,,78339,0
78341,boul. Maple-Grove / place Dumas,  45.316585, -73.863951,,78341,0
78342,rue Ellice / rue de la Kilgour,  45.316006, -73.868244,,78342,0
78343,boul. Maple-Grove / face au 220,  45.317629, -73.852279,,78343,0
78344,boul. Maple-Grove / rue St-Armand,  45.317513, -73.852271,,78344,0
78345,rue St-Laurent / rue de la Kilgour,  45.316550, -73.867969,,78345,0
