shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10203,45.405273,-74.041306,40004,1.202
10203,45.405254,-74.040715,40005,1.249
10203,45.405244,-74.040384,40006,1.275
10203,45.405235,-74.040229,40007,1.287
10203,45.405214,-74.040043,40008,1.302
10203,45.405177,-74.039831,40009,1.319
10203,45.405082,-74.039342,40010,1.358
10203,45.405055,-74.039176,40011,1.372
10203,45.405055,-74.039176,50001,1.372
10203,45.404835,-74.037840,50002,1.479
10203,45.404809,-74.037654,50003,1.494
10203,45.404879,-74.037634,50004,1.502
10203,45.404967,-74.037612,50005,1.512
10203,45.405614,-74.037392,50006,1.586
10203,45.405907,-74.037273,50007,1.619
10203,45.406118,-74.037161,50008,1.645
10203,45.406309,-74.037041,50009,1.668
10203,45.406496,-74.036900,50010,1.691
10203,45.406711,-74.036706,50011,1.720
10203,45.406974,-74.036432,50012,1.756
10203,45.407444,-74.035891,50013,1.823
10203,45.408032,-74.035245,50014,1.906
10203,45.408145,-74.035112,50015,1.922
10203,45.408249,-74.035208,50016,1.936
10203,45.408369,-74.035318,50017,1.952
10203,45.408650,-74.035600,50018,1.990
10203,45.409058,-74.036024,50019,2.046
10203,45.409757,-74.036730,50020,2.142
10203,45.409893,-74.036870,50021,2.160
10203,45.410474,-74.037470,50022,2.240
10203,45.410911,-74.037920,50023,2.300
10203,45.411195,-74.038207,50024,2.339
10203,45.411746,-74.038747,50025,2.413
10203,45.412009,-74.039016,50026,2.449
10203,45.412115,-74.039125,50027,2.464
10203,45.412342,-74.039357,50028,2.495
10203,45.412509,-74.039517,50029,2.517
10203,45.412678,-74.039669,50030,2.540
10203,45.413116,-74.040042,50031,2.596
10203,45.413369,-74.040263,50032,2.629
10203,45.413452,-74.040342,50033,2.640
10203,45.413609,-74.040506,50034,2.662
10203,45.413763,-74.040676,50035,2.684
10203,45.413893,-74.040833,50036,2.703
10203,45.413999,-74.040977,50037,2.719
10203,45.413999,-74.040977,60001,2.719
10203,45.414297,-74.041382,60002,2.765
10203,45.414345,-74.041447,60003,2.772
10203,45.414451,-74.041612,60004,2.790
10203,45.414612,-74.041907,60005,2.819
10203,45.414672,-74.042005,60006,2.829
10203,45.414734,-74.042097,60007,2.839
10203,45.414781,-74.042194,60008,2.849
10203,45.414906,-74.042320,60009,2.865
10203,45.415123,-74.042518,60010,2.894
10203,45.415692,-74.042963,60011,2.966
10203,45.415949,-74.043174,60012,2.999
10203,45.416032,-74.043249,60013,3.010
10203,45.416093,-74.043304,60014,3.018
10203,45.416156,-74.043361,60015,3.027
