route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
45,PI-H19-PI_GTFS-Semaine-01,3550326-PI-H19-PI_GTFS-Semaine-01,Service AM,0,450003,410
45,PI-H19-PI_GTFS-Semaine-01,3550327-PI-H19-PI_GTFS-Semaine-01,Service AM,0,450003,420
45,PI-H19-PI_GTFS-Semaine-01,3550328-PI-H19-PI_GTFS-Semaine-01,Service PM,1,450005,910
45,PI-H19-PI_GTFS-Semaine-01,3550329-PI-H19-PI_GTFS-Semaine-01,Service PM,1,450005,450
4,PI-H19-PI_GTFS-Semaine-01,3550330-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,4
4,PI-H19-PI_GTFS-Semaine-01,3550331-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,6
4,PI-H19-PI_GTFS-Semaine-01,3550332-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,10
4,PI-H19-PI_GTFS-Semaine-01,3550333-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,16
4,PI-H19-PI_GTFS-Semaine-01,3550334-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,18
4,PI-H19-PI_GTFS-Semaine-01,3550335-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,8
4,PI-H19-PI_GTFS-Semaine-01,3550336-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,32
4,PI-H19-PI_GTFS-Semaine-01,3550337-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,34
4,PI-H19-PI_GTFS-Semaine-01,3550338-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,36
4,PI-H19-PI_GTFS-Semaine-01,3550339-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,12
4,PI-H19-PI_GTFS-Semaine-01,3550340-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,14
4,PI-H19-PI_GTFS-Semaine-01,3550341-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,20
4,PI-H19-PI_GTFS-Semaine-01,3550342-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,22
4,PI-H19-PI_GTFS-Semaine-01,3550343-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,24
