stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
72477,rue du Bordelais / rue du Conservatoire,  45.418469, -74.151435,,72477,0
72478,rue du Bordelais / rue du Conservatoire,  45.418696, -74.151743,,72478,0
72479,rue du Bordelais / rue Chanterel,  45.414630, -74.151030,,72479,0
72480,rue du Bordelais / rue Chanterel,  45.414857, -74.151358,,72480,0
72481,rue du Bordelais / rue du Bordeaux,  45.411769, -74.153376,,72481,0
72482,rue du Bordelais / rue du Bordeaux,  45.412074, -74.153381,,72482,0
72483,rue du Bordelais / ch. St-Élizabeth,  45.410987, -74.153976,,72483,0
72484,rue du Bordelais / ch. St-Élizabeth,  45.411334, -74.154224,,72484,0
72485,rue du Bordelais / rue des Oliviers,  45.407786, -74.155001,,72485,0
72486,rue du Bordelais / rue du Sauvignon,  45.407978, -74.155109,,72486,0
72487,rue du Bordelais / place du Bordelais,  45.405423, -74.155930,,72487,0
72488,rue du Bordelais / rue Muscadet,  45.405479, -74.156062,,72488,0
72489,ch. Ste-Angélique / rue du Bordelais,  45.401520, -74.156154,,72489,0
72490,rue du Bordelais / ch. Ste-Angélique,  45.401380, -74.156373,,72490,0
72491,ch. Ste-Angélique / rue des Cascades,  45.401827, -74.153352,,72491,0
72492,ch. Ste-Angélique / rue des Cascades,  45.401577, -74.153379,,72492,0
72493,ch. Ste-Angélique / rue Rozon,  45.401403, -74.149732,,72493,0
72494,ch. Ste-Angélique / rue Rozon,  45.401199, -74.150176,,72494,0
72495,ch. Ste-Angélique / rue Michel,  45.400936, -74.146386,,72495,0
72496,ch. Ste-Angélique / rue Michel,  45.400813, -74.146670,,72496,0
72497,ch. Ste-Angélique / avenue Bédard,  45.400136, -74.140147,,72497,0
72498,ch. Ste-Angélique / avenue Bédard,  45.400092, -74.140288,,72498,0
72499,ch. Ste-Angélique / rue des Marguerites,  45.399704, -74.135675,,72499,0
72500,ch. Ste-Angélique / rue des Marguerites,  45.399497, -74.136113,,72500,0
72501,ch. Ste-Angélique / rue Leroux,  45.399145, -74.131767,,72501,0
72502,ch. Ste-Angélique / rue Leroux,  45.399107, -74.131874,,72502,0
72503,ch. Ste-Angélique / rue Daniel,  45.398514, -74.128414,,72503,0
72504,rue Master / crois. Chesnut,  45.433473, -74.169213,,72504,0
72505,rue Master / crois. Chesnut,  45.433510, -74.169393,,72505,0
72506,ch. Ste-Angélique / rue des Cèdres,  45.398666, -74.127632,,72506,0
72507,rue Brazeau / ch. Ste-Angélique,  45.397132, -74.123753,,72507,0
72508,rue Brazeau / ch. Ste-Angélique,  45.396994, -74.123297,,72508,0
72509,rue du Printemps / rue Brazeau,  45.399622, -74.118414,,72509,0
72510,rue Brazeau / rue du Printemps,  45.399568, -74.118559,,72510,0
72511,rue des Semences / rue du Printemps,  45.398557, -74.116932,,72511,0
72512,rue du Printemps / rue des Semences,  45.398555, -74.117080,,72512,0
72513,rue des Semences / rue Champêtre,  45.397117, -74.116094,,72513,0
72514,rue Champêtre / rue des Semences,  45.396978, -74.115995,,72514,0
72515,rue Champêtre / rue du Sous-Bois,  45.396142, -74.117953,,72515,0
72516,rue Champêtre / rue du Sous-Bois,  45.395919, -74.118004,,72516,0
72517,rue Champêtre / rue du Sous-Bois,  45.395275, -74.120480,,72517,0
