route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
1,SO-H19-SO_GTFS-Semaine-03,3539764-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,22
1,SO-H19-SO_GTFS-Semaine-03,3539765-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,40
1,SO-H19-SO_GTFS-Semaine-03,3539766-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,1
1,SO-H19-SO_GTFS-Semaine-03,3539767-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,19
1,SO-H19-SO_GTFS-Semaine-03,3539768-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,21
1,SO-H19-SO_GTFS-Semaine-03,3539769-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,23
1,SO-H19-SO_GTFS-Semaine-03,3539770-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,25
1,SO-H19-SO_GTFS-Semaine-03,3539771-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,27
1,SO-H19-SO_GTFS-Semaine-03,3539772-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,29
1,SO-H19-SO_GTFS-Semaine-03,3539773-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,31
1,SO-H19-SO_GTFS-Semaine-03,3539774-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,33
1,SO-H19-SO_GTFS-Semaine-03,3539775-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,35
1,SO-H19-SO_GTFS-Semaine-03,3539776-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,37
1,SO-H19-SO_GTFS-Semaine-03,3539777-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,3
1,SO-H19-SO_GTFS-Semaine-03,3539778-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,39
1,SO-H19-SO_GTFS-Semaine-03,3539779-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,5
1,SO-H19-SO_GTFS-Semaine-03,3539780-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,7
1,SO-H19-SO_GTFS-Semaine-03,3539781-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,9
1,SO-H19-SO_GTFS-Semaine-03,3539782-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,11
1,SO-H19-SO_GTFS-Semaine-03,3539783-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,13
1,SO-H19-SO_GTFS-Semaine-03,3539784-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,15
1,SO-H19-SO_GTFS-Semaine-03,3539785-SO-H19-SO_GTFS-Semaine-03,Direction Valleyfield,1,10112,17
1,SO-H19-SO_GTFS-Semaine-03-0000100,3539786-SO-H19-SO_GTFS-Semaine-03-0000100,Direction Montréal,0,10111,42
1,SO-H19-SO_GTFS-Semaine-03-0000100,3539787-SO-H19-SO_GTFS-Semaine-03-0000100,Direction Valleyfield,1,10112,41
1,SO-H19-SO_GTFS-Dimanche-01,3539788-SO-H19-SO_GTFS-Dimanche-01,Direction Montréal,0,10109,2
1,SO-H19-SO_GTFS-Dimanche-01,3539789-SO-H19-SO_GTFS-Dimanche-01,Direction Montréal,0,10214,4
1,SO-H19-SO_GTFS-Dimanche-01,3539790-SO-H19-SO_GTFS-Dimanche-01,Direction Montréal,0,10214,6
1,SO-H19-SO_GTFS-Dimanche-01,3539791-SO-H19-SO_GTFS-Dimanche-01,Direction Montréal,0,10214,8
1,SO-H19-SO_GTFS-Dimanche-01,3539792-SO-H19-SO_GTFS-Dimanche-01,Direction Montréal,0,10214,10
1,SO-H19-SO_GTFS-Dimanche-01,3539793-SO-H19-SO_GTFS-Dimanche-01,Direction Montréal,0,10214,12
1,SO-H19-SO_GTFS-Dimanche-01,3539794-SO-H19-SO_GTFS-Dimanche-01,Direction Montréal,0,10214,14
1,SO-H19-SO_GTFS-Dimanche-01,3539795-SO-H19-SO_GTFS-Dimanche-01,Direction Montréal,0,10214,16
1,SO-H19-SO_GTFS-Dimanche-01,3539796-SO-H19-SO_GTFS-Dimanche-01,Direction Montréal,0,10214,18
1,SO-H19-SO_GTFS-Dimanche-01,3539797-SO-H19-SO_GTFS-Dimanche-01,Direction Montréal,0,10214,20
1,SO-H19-SO_GTFS-Dimanche-01,3539798-SO-H19-SO_GTFS-Dimanche-01,Direction Montréal,0,10214,22
1,SO-H19-SO_GTFS-Dimanche-01,3539799-SO-H19-SO_GTFS-Dimanche-01,Direction Valleyfield,1,10112,1
1,SO-H19-SO_GTFS-Dimanche-01,3539800-SO-H19-SO_GTFS-Dimanche-01,Direction Valleyfield,1,10112,3
1,SO-H19-SO_GTFS-Dimanche-01,3539801-SO-H19-SO_GTFS-Dimanche-01,Direction Valleyfield,1,10112,5
1,SO-H19-SO_GTFS-Dimanche-01,3539802-SO-H19-SO_GTFS-Dimanche-01,Direction Valleyfield,1,10112,7
1,SO-H19-SO_GTFS-Dimanche-01,3539803-SO-H19-SO_GTFS-Dimanche-01,Direction Valleyfield,1,10112,9
1,SO-H19-SO_GTFS-Dimanche-01,3539804-SO-H19-SO_GTFS-Dimanche-01,Direction Valleyfield,1,10112,11
1,SO-H19-SO_GTFS-Dimanche-01,3539805-SO-H19-SO_GTFS-Dimanche-01,Direction Valleyfield,1,10112,13
1,SO-H19-SO_GTFS-Dimanche-01,3539806-SO-H19-SO_GTFS-Dimanche-01,Direction Valleyfield,1,10112,15
1,SO-H19-SO_GTFS-Dimanche-01,3539807-SO-H19-SO_GTFS-Dimanche-01,Direction Valleyfield,1,10112,17
1,SO-H19-SO_GTFS-Dimanche-01,3539808-SO-H19-SO_GTFS-Dimanche-01,Direction Valleyfield,1,10112,19
1,SO-H19-SO_GTFS-Dimanche-01,3539809-SO-H19-SO_GTFS-Dimanche-01,Direction Valleyfield,1,10112,21
1,SO-H19-SO_GTFS-Dimanche-01,3539810-SO-H19-SO_GTFS-Dimanche-01,Direction Valleyfield,1,10112,23
20,SO-H19-SO_GTFS-Semaine-03,3539811-SO-H19-SO_GTFS-Semaine-03,Direction Est - rue Francois-Branchaud,0,200047,2
